Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";Примечание;"Категория товара";Наличие
"Стул для кормления Cam Smarty c25";82;http://127.0.0.1/product/cam-smarty;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya_Cam_Smarty_cvet__1.jpg;;Стульчики;склад
"Стул для кормления Cam Smarty c26";82;http://127.0.0.1/product/cam-smarty;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya_Cam_Smarty_cvet_.jpg;;Стульчики;склад
"Пеленальный матрас Cam Baby Block ";60;http://127.0.0.1/product/cam-baby-block;http://127.0.0.1/assets/images/catalog/big/Pelenalnyy_matras_Cam_Baby_Block_cvet_.jpg;;"Для пеленания";склад
"Ванна для купания Cam Baby Bagno U22";52;http://127.0.0.1/product/cam-baby-bagno;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_baby_bagno_cvet_u22.jpeg;;Разное;склад
"Ванна для купания Cam Baby Bagno U28";52;http://127.0.0.1/product/cam-baby-bagno;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_baby_bagno_cvet_u28.jpeg;;Разное;склад
"Ванна для купания Cam Baby Bagno U31";52;http://127.0.0.1/product/cam-baby-bagno;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_baby_bagno_cvet_u31.jpeg;;Разное;склад
"Ванна для купания Cam Baby Bagno U32";52;http://127.0.0.1/product/cam-baby-bagno;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_baby_bagno_cvet_u32.jpeg;;Разное;склад
"Ванна для купания Cam Baby Bagno U33";52;http://127.0.0.1/product/cam-baby-bagno;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_baby_bagno_cvet_u33.jpeg;;Разное;склад
"Ванна для купания Cam Bollicina U32";40;http://127.0.0.1/product/cam-bollicina;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_bollicina_cvet_u32.jpeg;;Разное;склад
"Ванна для купания Cam Bollicina U28";40;http://127.0.0.1/product/cam-bollicina;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_bollicina_cvet_u28.jpeg;;Разное;склад
"Ванна для купания Cam Bollicina U22";40;http://127.0.0.1/product/cam-bollicina;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_bollicina_cvet_u22.jpeg;;Разное;склад
"Ванна для купания Cam Bollicina U31";40;http://127.0.0.1/product/cam-bollicina;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_bollicina_cvet_u31.jpeg;;Разное;склад
"Ванна для купания Cam Bollicina U33";40;http://127.0.0.1/product/cam-bollicina;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_bollicina_cvet_u33.jpeg;;Разное;склад
"Универсальная коляска Cam Combi Family (3 в 1) 164";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_164.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 162";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_162.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 165";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_165.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 168";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_168.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 169";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_169.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 170";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_170.jpeg;;Коляски;склад
