Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";"Категория товара"
"Антел Ульяна-6";135;http://127.0.0.1/product/antel-ulyana-6;http://127.0.0.1/assets/images/catalog/big/Detskiy_pelenalnyy_komod_Antel_Ulyana-6_cvet_Venge_1.jpg;"Для пеленания"
"Антел Ульяна-7";127;http://127.0.0.1/product/antel-ulyana-7;http://127.0.0.1/assets/images/catalog/big/Detskiy_pelenalnyy_komod_Antel_Ulyana-7_cvet_Venge-klen_1.jpeg;"Для пеленания"
"BabyPoint Regina";160;http://127.0.0.1/product/babypoint-regina;http://127.0.0.1/assets/images/catalog/big/Detskaya_kolybel_BabyPoint_Regina_cvet_Zelenyy.jpg;Кроватки
"Tako Duo Driver";420;http://127.0.0.1/product/tako-duo-driver;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_dlya_dvoyni_Tako_Duo_Driver_cvet_Krasnyy.jpg;Коляски
"Globex Компакт";48;http://127.0.0.1/product/globex-kompakt;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya_Globex_Kompakt_So_stoleshnicey.jpg;Стульчики
"Welldon Encore Classic";172;http://127.0.0.1/product/welldon-encore-classic;http://127.0.0.1/assets/images/catalog/big/Detskoe_avtokreslo_Welldon_Encore_Classic_cvet_Azury_Grid.jpg;Автокресла
"BabyPoint Jesica С3";35;http://127.0.0.1/product/babypoint-jesica-s3;http://127.0.0.1/assets/images/catalog/big/Matras_detskiy_BabyPoint_Jesica_S3_cvet_Bezhevyy_1.jpg;"Для пеленания"
"Welldon Smart Sport SideArmor & CuddleMe";169;http://127.0.0.1/product/smart-sport-sidearmor---cuddleme;http://127.0.0.1/assets/images/catalog/big/Detskoe_avtokreslo_Smart_Sport_SideArmor___CuddleMe_cvet_Black_1.jpg;Автокресла
"BabyPoint Polly А3";50;http://127.0.0.1/product/babypoint-polly-a3;http://127.0.0.1/assets/images/catalog/big/Matras_detskiy_BabyPoint_Polly_A3_cvet_Zelenyy.jpg;"Для пеленания"
"BabyPoint C3 NB";33;http://127.0.0.1/product/babypoint-c3-nb;http://127.0.0.1/assets/images/catalog/big/Matras_detskiy_BabyPoint_C3_NB_cvet_Siniy.jpg;"Для пеленания"
"BabyPoint A3 NB";37;http://127.0.0.1/product/babypoint-a3-nb;http://127.0.0.1/assets/images/catalog/big/Matras_detskiy_BabyPoint_A3_NB_cvet_Korichnevyy.jpg;"Для пеленания"
"Welldon Smart Sport SideArmor & CuddleMe ISO-FIX ";234;http://127.0.0.1/product/smart-sport-sidearmor---cuddleme-iso-fix-;http://127.0.0.1/assets/images/catalog/big/Detskoe_avtokreslo_Smart_Sport_SideArmor___CuddleMe_ISO-FIX__cvet_black.jpg;Автокресла
"Welldon Smart Sport Side Armor";162;http://127.0.0.1/product/welldon-smart-sport-side-armor;http://127.0.0.1/assets/images/catalog/big/Detskoe_avtokreslo_Welldon_Smart_Sport_Side_Armor_cvet_grey.jpg;Автокресла
