Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
"Красная звезда";"Марина (С 700)";212;2257800
"Красная звезда";"Полина (С 398)";280;2982000
"Красная звезда";"Машенька (С 237)";128;1363200
Papaloni;Венеция;295;3141750
"Красная звезда";"Виталина (С 851)";255;2715750
"Красная звезда";"Регина (С 600)";315;3354750
Лель;"Ромашка АБ 16.2";270;2875500
"Красная звезда";"Ангелина (С 676)";350;3727500
Лель;"Маргаритка БИ 08.2";540;5751000
Papaloni;Луи;275;2928750
Papaloni;Санта;305;3248250
Papaloni;Фиорентина;550;5857500
Лель;"Лютик АБ 15.2";258;2747700
Лель;"Лютик АБ 15.1";195;2076750
Лель;"Василек БИ 09.0";245;2609250
"Красная звезда";"Влада (С 236)";145;1544250
Giovanni;Elite;217;2311050
Cam;Igloo;121;1288650
Inglesina;Magnum;550;5857500
Inglesina;"Otutto (3 в 1)";920;9798000
Inglesina;"Zippy Free System (3 в 1)";870;9265500
Inglesina;Espresso;255;2715750
Inglesina;Swift;165;1757250
Inglesina;Trip;206;2193900
Inglesina;Zippy;440;4686000
Inglesina;"Zippy Free";470;5005500
Inglesina;"Twin Swift";350;3727500
Graco;CitiSport;115;1224750
Graco;"Mirage Plus";130;1384500
Graco;Nautilus;215;2289750
Graco;"Junior Maxi";73;777450
Graco;"Booster Basic";44;468600
Graco;"Logico LX Comfort";110;1171500
Graco;"Junior Mini";260;2769000
Graco;"Lovin Hug";175;1863750
Graco;Sweetpeace;287;3056550
Graco;Silhouette;169;1799850
Graco;"Baby Delight";90;958500
Graco;Swing'n'Bounce;195;2076750
Graco;"Contour Electra Deluxe";200;2130000
Graco;"Contour Prestige";215;2289750
Graco;"Tea Time";79;841350
Graco;Contempo;155;1650750
Graco;"Discovery Walker";105;1118250
Graco;"Travel Bouncer";90;958500
Graco;"Cosy Bouncer";0;0
Jetem;"Rhapsody (Capella C4)";150;1597500
Jetem;"(Capella) Looping";120;1278000
Jetem;"(Capella) C1";150;1597500
Jetem;"(Capella) C2";135;1437750
Jetem;"(Capella) C3";91;969150
Jetem;"(Capella) Sport";145;1544250
Jetem;"(Capella) Quadro";140;1491000
Jetem;"(Capella) Quadro R";145;1544250
Graco;"Cuddle Cove";237;2524050
Фея;Классика;53;564450
Фея;Квадрат;54;575100
Фея;Уголок;62;660300
Фея;Книжка;75;798750
Graco;"Duo (2 в 1)";210;2236500
Jetem;"(Capella) Surf";85;905250
Jetem;"(Capella) Breeze";120;1278000
Jetem;"(Capella) Scooter";115;1224750
Jetem;"(Capella) Dandy";88;937200
Jetem;"(Capella) Skywalker";85;905250
Jetem;"(Capella) Space Shuttle";75;798750
Jetem;"(Capella) Fairy";86;915900
Jetem;"(Capella) Bravo";85;905250
Jetem;"(Capella) Grace";85;905250
Jetem;"(Capella) Jazz";94;1001100
Jetem;"(Capella) Gran Turismo";85;905250
Jetem;"(Capella) Berry";71;756150
Jetem;"(Capella) EasyGo (3 в 1)";100;1065000
Jetem;"(Capella) Flyer";75;798750
Jetem;"(Capella) Mobile";88;937200
Jetem;"(Capella) Rocker";88;937200
Jetem;"(Capella) Funny zone";70;745500
"Baby Care";Top-Top;70;745500
"Baby Care";"Tom and Mary";53;564450
"Baby Care";Flip;51;543150
"Baby Care";Pilot;54;575100
"Baby Care";Walker;49;521850
"Baby Care";Simple;55;585750
"Baby Care";Panda;55;585750
"Сонный Гномик";Зайчик;80;852000
Womar;Siberia;77;820050
Womar;Crocus;75;798750
Womar;Snowflake;75;798750
Womar;Wintry;70;745500
Womar;Excluzive;75;798750
Womar;Aurora;70;745500
СКВ-Компани;"93003 (73003)";228;2428200
"Золотой Гусь";"Растем весело (7 предметов)";115;1224750
Ведрусс;Ням-Ням;70;745500
СКВ-Компани;"93001 (73001)";204;2172600
СКВ-Компани;11111;107;1139550
СКВ-Компани;11011;78;830700
СКВ-Компани;23200;170;1810500
СКВ-Компани;53403;199;2119350
СКВ-Компани;70110;80;852000
Гандылян;"Ванечка (колесо-качалка)";198;2108700
Гандылян;"Дашенька (колесо-качалка)";180;1917000
Гандылян;"Аистёнок мини";319;3397350
Гандылян;"Анастасия (маятник)";276;2939400
Ведрусс;Радуга-4;150;1790000
Гандылян;"Чу-Ча (маятник)";263;2800950
Ведрусс;Раиса;190;2090000
Гандылян;"Лейла (колесо-качалка)";204;2172600
СКВ-Компани;23011;85;905250
Гандылян;"Анжелика (поперечный маятник)";327;3482550
Гандылян;"Диана new (маятник)";348;3706200
Гандылян;"Тереза (трансформер без качания)";290;3088500
Erbesi;Brilliante;832;8860800
Giovanni;Dolce;470;5005500
Гандылян;"Симоник (колесо-качалка)";198;2108700
Giovanni;Luminoso;378;4025700
СКВ-Компани;23111;120;1278000
Гандылян;"Полина (маятник)";264;2811600
Гандылян;"Агнесса (маятник)";335;3567750
Giovanni;Belcanto;310;3301500
Erbesi;Hippy;390;4153500
Гандылян;"Даниэль (маятник)";357;3802050
Erbesi;Incanto;588;6262200
Гандылян;"Шарлотта (маятник)";376;4004400
Гандылян;"Софи (колесо)";284;3024600
Гандылян;"Джулия (бабочка) (колесо-качалка)";287;3056550
Maclaren;"Quest Sport";340;3621000
Maclaren;"Techno XT";410;4366500
Maclaren;"Techno XLR";555;5910750
Maclaren;"Twin Techno";630;6709500
Maclaren;Volo;190;2023500
Maclaren;"Juicy Couture";480;5112000
Maclaren;"Ryder Owen Tartan";520;5538000
Maclaren;"Quest Denim Indigo";380;4047000
Maclaren;"Quest Beatles Yellow Submarine";480;5112000
Maclaren;"Quest Heritage Buggy";380;4047000
Велар;М11;390;4153500
Велар;М10;310;3301500
"Красная звезда";"Тимоша (С 312)";190;2023500
"Красная звезда";"Викторина (С 352)";307;3269550
"Красная звезда";"Злата (С 353)";198;2108700
"Красная звезда";"Елизавета (С 553)";428;4558200
"Красная звезда";"Карина (С 555)";448;4771200
"Красная звезда";"Валерия (С 707)";661;7039650
"Красная звезда";"Руслан (С 725)";390;4153500
"Красная звезда";"Аэлита (С 888)";603;6421950
"Красная звезда";"С 454";460;4899000
"Heitmann Felle";Eisbarchen;90;958500
"Красная звезда";"С 257";400;4260000
"Золотой Гусь";"Coolcar (7 предметов)";92;979800
"Красная звезда";"С 421";360;3834000
"Красная звезда";"С 438";300;3195000
"Красная звезда";"С 445";330;3514500
"Красная звезда";"С 492";330;3514500
"Красная звезда";"С 575";345;3674250
"Красная звезда";"С 566";460;4899000
"Золотой Гусь";"Little Friend (7 предметов)";92;979800
"Золотой Гусь";"Аленка (7 предметов)";91;969150
"Золотой Гусь";"Антошка (7 предметов)";170;1810500
"Золотой Гусь";"Анюта (7 предметов)";0;0
"Золотой Гусь";"Бэби Элит (8 предметов)";240;2556000
"Золотой Гусь";"Веселые овечки (7 предметов)";160;1704000
